canonical_id,work_id,title,years,production_year,favorite_count,my_list_count,primary_genre,source_origin,canonical_tags,classification_status,detail_url,attribute_source_url,attribute_fetched_at
danime:26114,26114,のどか森の動物大作戦,1980,1980,149,225,キッズ・ファミリー,,キッズ・ファミリー|スペキュレーティブ判定保留,needs-review,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26114,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26114,2026-07-25T10:32:13.002Z
danime:26117,26117,やっぱり海が好き,2015,2015,707,1115,ドラマ・青春,,ドラマ・青春|キッズ・ファミリー|成長・挑戦|職業・仕事,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26117,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26117,2026-07-25T10:57:19.085Z
danime:26118,26118,西武鉄道駅員タコちゃん,2011,2011,178,259,ショート,,ショート|コメディ・ギャグ|キッズ・ファミリー,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26118,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26118,2026-07-25T10:45:34.871Z
danime:26119,26119,キメゾーの「決まり文句じゃキマらねぇ。」第1シリーズ,2010,2010,138,274,ショート,,ショート|コメディ・ギャグ,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26119,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26119,2026-07-25T10:33:32.104Z
danime:26120,26120,キメゾーの決まり文句じゃキマらねぇ。Featuring サブ男,2011,2011,107,156,ショート,,ショート|コメディ・ギャグ,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26120,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26120,2026-07-25T10:45:34.871Z
danime:26121,26121,ポテッコベイビーズ(2011）,2011,2011,41,129,ショート,,ショート|コメディ・ギャグ|キッズ・ファミリー|成長・挑戦,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26121,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26121,2026-07-25T10:45:34.871Z
danime:26130,26130,デジモンアドベンチャー LAST EVOLUTION 絆,2020,2020,8849,6923,バトル・アクション,,バトル・アクション|キッズ・ファミリー|スペキュレーティブ判定保留|学園|友情・仲間,needs-review,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26130,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26130,2026-07-25T10:49:24.670Z
danime:26132,26132,舞台「鬼滅の刃」,2020,2020,6418,3808,2.5次元舞台,漫画,2.5次元舞台|現代ファンタジー|家族|サバイバル|怪異・妖怪,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26132,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26132,2026-07-25T10:49:24.670Z
danime:26133,26133,ミュージカル「DREAM!ing～Rainy Days～」,2022,2022,744,430,2.5次元舞台,,2.5次元舞台|SF|学園|政治・戦略|人工知能,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26133,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26133,2026-07-25T10:36:27.399Z
danime:26135,26135,ミュージカル「DREAM!ing～Rainy Days～」【千秋楽定点映像】,2022,2022,506,276,2.5次元舞台,,2.5次元舞台|SF|学園|政治・戦略|人工知能,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26135,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26135,2026-07-25T10:36:27.399Z
danime:26136,26136,増元拓也・長谷川芳明 漫談ライブショー「ピーチクパーチク」Vol.0,2021,2021,128,58,ライブ・ラジオ・その他,,ライブ・ラジオ・その他,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26136,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26136,2026-07-25T10:24:25.195Z
danime:26137,26137,増元拓也・長谷川芳明 漫談ライブショー「ピーチクパーチク」Vol.0.5,2021,2021,96,40,ライブ・ラジオ・その他,,ライブ・ラジオ・その他,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26137,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26137,2026-07-25T10:24:25.195Z
danime:26138,26138,増元拓也・長谷川芳明 漫談ライブショー「ピーチクパーチク」Vol.1【第1部】,2021,2021,93,53,ライブ・ラジオ・その他,,ライブ・ラジオ・その他,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26138,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26138,2026-07-25T10:24:25.195Z
danime:26139,26139,増元拓也・長谷川芳明 漫談ライブショー「ピーチクパーチク」Vol.1【第2部】,2021,2021,93,60,ライブ・ラジオ・その他,,ライブ・ラジオ・その他,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26139,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26139,2026-07-25T10:24:25.195Z
danime:26143,26143,ホロのぐらふぃてぃ,2019,2019,17583,16447,ショート,,ショート|コメディ・ギャグ,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26143,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26143,2026-07-25T10:24:27.710Z
danime:26145,26145,ももくり,2016,2016,10207,9835,恋愛・ラブコメ,,恋愛・ラブコメ|ショート|ラブコメ|学園|恋愛,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26145,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26145,2026-07-25T10:48:25.268Z
danime:26148,26148,Dimension W,2016,2016,9801,10481,バトル・アクション,,バトル・アクション|スペキュレーティブ判定保留|犯罪・警察,needs-review,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26148,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26148,2026-07-25T10:48:25.268Z
danime:26151,26151,キン肉マン 決戦!! 七人の超人VS宇宙野武士,1984,1984,1132,1103,バトル・アクション,,バトル・アクション|SF|コメディ・ギャグ|スペースオペラ|宇宙|友情・仲間|音楽・アイドル,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26151,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26151,2026-07-25T10:32:14.552Z
danime:26153,26153,キン肉マンⅡ世 ULTIMATE MUSCLE,2004,2004,1795,1795,バトル・アクション,,バトル・アクション|コメディ・ギャグ|家族,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26153,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26153,2026-07-25T10:22:12.115Z
danime:26154,26154,キン肉マンⅡ世 ULTIMATE MUSCLE2,2006,2006,1898,1818,バトル・アクション,,バトル・アクション|コメディ・ギャグ|家族,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26154,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26154,2026-07-25T10:45:23.551Z
danime:26155,26155,闘将!!拉麺男,1988,1988,2302,2695,バトル・アクション,,バトル・アクション|コメディ・ギャグ|家族,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26155,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26155,2026-07-25T10:55:42.105Z
danime:26156,26156,ゲゲゲの鬼太郎（第1作）,1968,1968,4436,5833,バトル・アクション,,バトル・アクション|ホラー・サスペンス・ミステリー|キッズ・ファミリー|現代ファンタジー|学園|怪異・妖怪,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26156,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26156,2026-07-25T10:55:27.515Z
danime:26157,26157,ゲゲゲの鬼太郎（第2作）,1971,1971,3234,4143,バトル・アクション,,バトル・アクション|ホラー・サスペンス・ミステリー|キッズ・ファミリー|現代ファンタジー|成長・挑戦|怪異・妖怪,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26157,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26157,2026-07-25T10:43:49.843Z
danime:26158,26158,ゲゲゲの鬼太郎（第3作）,1985,1985,4052,5307,バトル・アクション,,バトル・アクション|ホラー・サスペンス・ミステリー|キッズ・ファミリー|現代ファンタジー|友情・仲間|サバイバル|怪異・妖怪,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26158,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26158,2026-07-25T10:43:54.548Z
danime:26159,26159,ゲゲゲの鬼太郎（第4作）,1996,1996,4295,4959,バトル・アクション,,バトル・アクション|ホラー・サスペンス・ミステリー|キッズ・ファミリー|現代ファンタジー|友情・仲間|怪異・妖怪,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26159,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26159,2026-07-25T10:32:46.898Z
danime:26160,26160,ゲゲゲの鬼太郎（第5作）,2007,2007,7818,8398,バトル・アクション,,バトル・アクション|ホラー・サスペンス・ミステリー|キッズ・ファミリー|現代ファンタジー|友情・仲間|怪異・妖怪,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26160,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26160,2026-07-25T10:45:59.280Z
